CO,NO2,Ozone,SO2
1,26.66,84.2,31.97
1.94,41,67.15,37.47
1.4,35.55,36.4,32.26
1.88,48.33,91.07,44.41
1.26,30,112.86,42.37
0.98,19.38,97.79,35.99
1.09,25.18,76.03,29.18
1.39,35.84,159.94,37.94
2.29,56.31,68.18,37.07
3.1,70.4,33.52,37.82
2.72,85.55,75.11,34.32
3.39,92.42,102.7,31.07
2.59,70.88,63.57,30.67
0.92,42,52.02,21.42
1.28,41.23,30.7,23.59
1.15,28.14,14.37,25.29
4.02,128,43.48,38.8
3.12,107.64,36.98,37.73
0.95,23.62,0.94,8.65
0.28,13.38,32.83,11.23
0.47,25.07,32.19,16.23
0.05,2.87,5.45,1.64
0.24,16.26,1.88,3.7
3.04,102.8,27.92,28.83
0.58,36.13,24.49,15.67
2.63,118.44,29.51,23.17
4.29,90.8,30.72,21.49
3.94,83.53,39.55,27.45
4.11,105.16,48.71,33.94
3.84,112.2,28.38,28.5
3.88,119.94,31.35,15.17
4.87,155.02,28.69,34.72
3.62,146.73,40.76,29.34
3.74,170.03,29.97,12.25
3.71,190.34,26.27,8.23
4.26,223.65,35.2,6.39
4.58,144.9,30.15,6.12
2.83,122.61,23.59,23.63
3.22,101.99,20.72,16.08
3.74,104.37,22.78,33.36
2.24,92.06,19.15,40.57
2.02,105.01,35.22,42.42
1.18,71.02,44.74,29.06
2.01,99.85,35.32,32.09
2.15,88.59,34.54,27.91
2,93.75,34.86,35.36
2.08,97.12,34.53,42.43
2.31,106.26,35.71,46.55
2.27,113.82,38.32,51.07
3.99,115.07,55.05,45.97
3.35,111.03,36.2,44.5
3.08,114.77,30.82,43.12
3.79,132.77,17.17,34.59
4.61,127.36,25.6,27.38
3.09,122.75,25.56,32.64
3.32,130.29,21.36,34.69
3.85,148.95,21.53,34.57
3.6,148.02,14.19,26.57
4.19,152.21,22.91,37.33
2.33,110.66,23.71,43.39
1.9,95.95,27.42,49.24
1.78,100.09,36.34,47.42
3.07,125.57,33.47,49.99
3.55,144.53,25.01,46.19
4.16,138.51,19.76,36.43
2.92,81.42,16.18,16.26
2.42,63.57,27.51,15.15
1.19,56.74,20.66,16.65
0.37,73.85,57.95,36.48
1.19,89.3,23.8,55.34
2.33,96.02,14.02,57.66
2.74,91.44,25.78,42.27
5.2,79.07,23.34,43.04
0.75,66.75,26.02,43.95
3.05,73.84,27.22,33.88
2.08,78.44,25.46,31.18
2.41,73.46,26.4,40.05
2.87,77.48,21.01,40.18
3.59,86.72,22.7,40.45
2.49,93.42,35.62,52.96
2.01,92.53,32.72,33.24
3.32,72.2,24.54,19.24
3.19,99.61,20.41,23.39
2.64,82.47,20.08,18.45
2.28,72.63,22.04,23.85
2.1,89.36,20.47,15.43
2.21,76.9,14.73,16.53
2.76,71.96,28.99,14.35
2.01,76.53,33.09,24.58
1.44,80.5,32.43,37.08
2.41,83.58,34.17,38.61
1.53,84.52,37.43,52.59
1.22,72.24,37.07,53.27
1.31,97.2,31.18,64.69
3.11,95.95,30.3,34.92
2.16,90.24,34.34,43.42
2.42,85.92,29.91,46.93
1.06,68.41,50.63,45.21
2.26,86.21,20.8,24.76
2.8,70.44,15.07,26
2.35,93.02,37.48,33.86
1.88,83.9,11.56,42.15
0.63,50.58,67.31,31.7
2.62,86.34,25.64,38.17
3.03,106.92,25.72,15.27
2.22,65.87,34.63,12.81
2.11,24.5,5.3,29.97
2.49,43.34,55.01,26.7
2.63,109.11,49.76,39.5
1.88,85.39,51.52,34.91
3.55,114.72,25.71,23.06
0.21,151.45,45.07,15.68
2.75,118.84,38.95,18.49
2.28,94.14,34.07,16.81
0.51,48.65,44.28,14.22
0.62,56.98,34.5,8.49
0.42,49.34,51.47,12.07
0.46,48.72,61.05,16.08
0.8,63.34,49.86,22.55
1.2,77.42,47.1,35.09
1.48,77.09,48.29,28.54
2.32,83.57,40.02,24.73
2.09,99.93,48.33,26.57
3.57,85.85,36.63,25.46
3.1,93.67,35.56,32.05
3.1,117.94,17.02,27.41
2.26,96.06,35.08,24.77
1.4,79.48,14.93,21.49
0.55,39.14,26.09,10.82
0.54,58.55,38.78,6.77
2.01,82.39,43.84,25.52
